FIPS,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,RBIRTH2011,RBIRTH2012,RBIRTH2013,RDEATH2011,RDEATH2012,RDEATH2013,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RNETMIG2011,RNETMIG2012,RNETMIG2013
21039,5104,5104,5099,5056,5053,5001,-5,-43,-3,-52,14,52,70,68,28,71,52,62,-14,-19,18,6,0,0,0,0,11,-28,-21,-56,11,-28,-21,-56,-2,4,0,-2,60,60,60,60,60,10.241260463,13.849045405,13.526954446,13.983259477999999,10.287862301,12.333399642,-3.741999015,3.5611831042,1.1935548041,0.0,0.0,0.0,-5.514524865,-4.154713622,-11.13984484,-5.514524865,-4.154713622,-11.13984484
21041,10811,10811,10807,10973,10924,10953,-4,166,-49,29,42,165,196,185,14,116,122,116,28,49,74,69,4,10,6,7,-36,109,-131,-57,-32,119,-125,-50,0,-2,2,10,325,325,325,325,325,15.151515152,17.901995707,16.912739407,10.651974288,11.143078960999999,10.604744709,4.4995408632,6.7589167466,6.3079946976,0.9182736455,0.5480202768,0.6399414911,10.009182736,-11.96510938,-5.210952142,10.927456382,-11.4170891,-4.57101065
21043,27720,27718,27732,27393,27353,27202,14,-339,-40,-151,93,340,330,334,54,303,324,319,39,37,6,15,0,-4,-4,-4,-20,-457,-40,-151,-20,-461,-44,-155,-5,85,-2,-11,626,626,626,626,626,12.335600907,12.0556753,12.244523875,10.993197279,11.836481204000002,11.694620107999999,1.3424036281,0.2191940964,0.5499037668,-0.145124717,-0.146129398,-0.146641004,-16.58049887,-1.4612939759999999,-5.53569792,-16.72562358,-1.607423373,-5.682338924
21045,15955,15952,15968,15980,16069,16067,16,12,89,-2,56,175,193,182,35,203,192,197,21,-28,1,-15,1,5,5,5,-2,13,86,2,-1,18,91,7,-4,22,-3,6,480,480,480,480,480,10.955302366,12.044057537,11.326860840999998,12.708150745,11.981653094,12.260393328,-1.752848379,0.0624044432,-0.933532487,0.313008639,0.312022216,0.31117749559999996,0.8138224615,5.3667821149,0.1244709983,1.1268311005,5.6788043309,0.4356484939
21047,73955,73945,74155,73561,75504,74167,210,-594,1943,-1337,433,1498,1385,1412,99,576,615,590,334,922,770,822,128,162,1009,424,-258,-1696,147,-2642,-130,-1534,1156,-2218,6,18,17,59,5389,5389,5392,5391,5394,20.28216307,18.582497568,18.868050591,7.7987489507,8.2514339382,7.8839588163,12.483414119,10.33106363,10.984091775,2.1933981424,13.537718445,5.6657602340999995,-22.96298302,1.9722939656999998,-35.30410033,-20.76958488,15.510012410999998,-29.63834009
21049,35613,35613,35610,35473,35737,35614,-3,-137,264,-123,99,404,420,417,116,367,358,339,-17,37,62,78,2,11,9,9,18,-195,194,-183,20,-184,203,-174,-6,10,-1,-27,458,458,458,458,458,11.366993515,11.796096054000001,11.688693922,10.32595698,10.054767588999999,9.502319519,1.0410365348000001,1.7413284650999998,2.1863744026,0.3094973482,0.2527734869,0.2522739695,-5.486543899,5.4486729392,-5.129570714,-5.177046551,5.7014464261,-4.877296744
21051,21730,21730,21690,21616,21547,21364,-40,-74,-69,-183,85,294,299,294,91,272,256,226,-6,22,43,68,0,0,0,0,-33,-100,-112,-264,-33,-100,-112,-264,-1,4,0,13,2240,2209,2209,2184,2182,13.577795225,13.85445868,13.702780172999999,12.561769732,11.862011445,10.533429657000001,1.016025493,1.9924472349000002,3.1693505162,0.0,0.0,0.0,-4.618297695,-5.189630007,-12.304537300000002,-4.618297695,-5.189630007,-12.304537300000002
21053,10272,10272,10279,10159,10240,10146,7,-120,81,-94,30,118,103,110,48,120,110,105,-18,-2,-7,5,0,1,1,1,29,-129,88,-87,29,-128,89,-86,-4,10,-1,-13,136,136,136,136,136,11.547118113,10.098534242000001,10.791719808,11.74283198,10.784842394000002,10.301187088999999,-0.19571386600000001,-0.6863081520000001,0.4905327185,0.09785693320000001,0.09804402179999999,0.09810654369999999,-12.62354438,8.6278739154,-8.535269302,-12.52568744,8.7259179372,-8.437162759
21055,9315,9315,9306,9279,9274,9255,-9,-27,-5,-19,19,81,120,108,47,111,94,100,-28,-30,26,8,1,3,4,4,22,-5,-34,-8,23,-2,-30,-4,-4,5,-1,-23,210,210,210,210,210,8.7167070218,12.935913329000002,11.657401911,11.94511703,10.133132108,10.793890657999999,-3.228410008,2.8027812214,0.8635112526000001,0.3228410008,0.431197111,0.43175562630000003,-0.538068335,-3.6651754430000003,-0.863511253,-0.215227334,-3.233978332,-0.431755626
21057,6856,6856,6859,6857,6852,6789,3,-2,-5,-63,18,79,90,87,11,101,102,107,7,-22,-12,-20,0,0,0,0,0,23,8,-45,0,23,8,-45,-4,-3,-1,2,86,86,86,86,86,11.519393409000001,13.130060544000001,12.755663075,14.727325750999999,14.880735283,15.687999414,-3.207932342,-1.7506747390000001,-2.932336339,0.0,0.0,0.0,3.3537474482,1.1671164928,-6.597756763,3.3537474482,1.1671164928,-6.597756763
