,0
0,PCA_0
1,PCA_7
2,PCA_5
3,PCA_19
4,PCA_4
5,PCA_9
6,PCA_8
7,PCA_13
8,PCA_6
9,PCA_3
10,PCA_12
11,PCA_11
12,PCA_18
13,PCA_2
14,PCA_14
15,PCA_15
16,PCA_17
17,PCA_10
