,0
0,PCA_0
1,PCA_5
2,PCA_7
3,PCA_19
4,PCA_4
5,PCA_9
6,PCA_14
7,PCA_12
8,PCA_6
9,PCA_13
10,PCA_18
11,PCA_17
12,PCA_3
13,PCA_11
14,PCA_15
15,PCA_10
