,0
0,PCA_0
1,PCA_5
2,PCA_7
3,PCA_19
4,PCA_14
5,PCA_13
6,PCA_9
7,PCA_12
8,PCA_4
9,PCA_6
10,PCA_11
11,PCA_17
12,PCA_15
