,0
0,PCA_0
1,PCA_5
2,PCA_7
3,PCA_19
4,PCA_9
5,PCA_4
6,PCA_13
7,PCA_6
8,PCA_12
9,PCA_11
10,PCA_10
11,PCA_14
12,PCA_15
13,PCA_17
