,0
0,PCA_0
1,PCA_7
2,PCA_5
3,PCA_19
4,PCA_12
5,PCA_4
6,PCA_9
7,PCA_6
8,PCA_17
9,PCA_11
10,PCA_18
11,PCA_15
12,PCA_13
13,PCA_10
14,PCA_14
