IV,Variables
0.021388587504334124,NEA_MR1990_LB
0.021388587504334124,NEA_MR1990_UB
0.0594620827374408,NEA_MR1995_VAL
0.04746062849282676,NEA_MR1995_LB
0.04746062849282676,NEA_MR1995_UB
0.07889264788232783,NEA_MR2000_VAL
0.0789230743570546,NEA_MR2000_LB
0.0789230743570546,NEA_MR2000_UB
0.1141041453862792,NEA_MR2005_VAL
0.10804342155203552,NEA_MR2005_LB
0.10804342155203552,NEA_MR2005_UB
0.1347900058130246,NEA_MR2010_VAL
0.11136261002298484,NEA_MR2010_LB
0.11136261002298484,NEA_MR2010_UB
0.15913824737725885,NEA_PC1980_2010
0.19444798160520327,OTA_MR1980_VAL
0.23494238475295257,OTA_MR1980_LB
0.23494238475295257,OTA_MR1980_UB
0.20974861417930957,OTA_MR1985_VAL
0.24778932380510924,OTA_MR1985_LB
0.24778932380510924,OTA_MR1985_UB
0.2408216596060258,OTA_MR1990_VAL
0.25436835398620317,OTA_MR1990_LB
0.25436835398620317,OTA_MR1990_UB
0.26428056319575266,OTA_MR1995_VAL
0.268785398964172,OTA_MR1995_LB
0.268785398964172,OTA_MR1995_UB
0.2530705773723492,OTA_MR2000_VAL
0.2729430235377041,OTA_MR2000_LB
0.2729430235377041,OTA_MR2000_UB
0.25819906126068337,OTA_MR2005_VAL
0.31560038291927733,OTA_MR2005_LB
0.31560038291927733,OTA_MR2005_UB
0.2319130904282606,OTA_MR2010_VAL
0.22932107895721893,OTA_MR2010_LB
0.22932107895721893,OTA_MR2010_UB
0.022244126456310683,OTA_PC1980_2010
0.07279037117667918,NOA_MR1980_VAL
0.07749522385614767,NOA_MR1980_LB
0.07749522385614767,NOA_MR1980_UB
0.14551178299233794,NOA_MR1985_VAL
0.1840648969221505,NOA_MR1985_LB
0.1840648969221505,NOA_MR1985_UB
0.22293525285501578,NOA_MR1990_VAL
0.23507135753932526,NOA_MR1990_LB
0.23507135753932526,NOA_MR1990_UB
0.3413887133675772,NOA_MR1995_VAL
0.349738155862189,NOA_MR1995_LB
0.349738155862189,NOA_MR1995_UB
0.4291719668227493,NOA_MR2000_VAL
0.45647651613696577,NOA_MR2000_LB
0.45647651613696577,NOA_MR2000_UB
0.5725440216313911,NOA_MR2005_VAL
0.5923114734749216,NOA_MR2005_LB
0.5923114734749216,NOA_MR2005_UB
0.635062519495376,NOA_MR2010_VAL
0.6853539588399877,NOA_MR2010_LB
0.6853539588399877,NOA_MR2010_UB
0.5357202961108392,NOA_PC1980_2010
0.09770565132069599,CDA_MR1980_VAL
0.1201274449412193,CDA_MR1980_LB
0.1201274449412193,CDA_MR1980_UB
0.16122308262586588,CDA_MR1985_VAL
0.17522856042669172,CDA_MR1985_LB
0.17522856042669172,CDA_MR1985_UB
0.2922146361367932,CDA_MR1990_VAL
0.3024514807087352,CDA_MR1990_LB
0.3024514807087352,CDA_MR1990_UB
0.38156146294706017,CDA_MR1995_VAL
0.4171582953936865,CDA_MR1995_LB
0.4171582953936865,CDA_MR1995_UB
0.4394867717126316,CDA_MR2000_VAL
0.4806238939426142,CDA_MR2000_LB
0.4806238939426142,CDA_MR2000_UB
0.5265804657254545,CDA_MR2005_VAL
0.5601938238515458,CDA_MR2005_LB
0.5601938238515458,CDA_MR2005_UB
0.602590949125061,CDA_MR2010_VAL
0.6316701312373838,CDA_MR2010_LB
0.6316701312373838,CDA_MR2010_UB
0.39436086347671284,CDA_PC1980_2010
0.029402335992000567,CRE_MR1980_VAL
0.02135761227175824,CRE_MR1980_LB
0.02135761227175824,CRE_MR1980_UB
0.05369358083747063,CRE_MR1985_VAL
0.04685857467576303,CRE_MR1985_LB
0.04685857467576303,CRE_MR1985_UB
0.09777567351180787,CRE_MR1990_VAL
0.1035121258305993,CRE_MR1990_LB
0.1035121258305993,CRE_MR1990_UB
0.18253689915613733,CRE_MR1995_VAL
0.21207478326551116,CRE_MR1995_LB
0.21207478326551116,CRE_MR1995_UB
0.2917519421293557,CRE_MR2000_VAL
0.3119130226707684,CRE_MR2000_LB
0.3119130226707684,CRE_MR2000_UB
0.42889848257339785,CRE_MR2005_VAL
0.4626603214103003,CRE_MR2005_LB
0.4626603214103003,CRE_MR2005_UB
0.51490429208832,CRE_MR2010_VAL
0.5545170921662794,CRE_MR2010_LB
0.5545170921662794,CRE_MR2010_UB
0.6290529609854445,CRE_PC1980_2010
0.10490003847706132,COC_MR1980_VAL
0.12177183123305219,COC_MR1980_LB
0.12177183123305219,COC_MR1980_UB
0.12035933075958075,COC_MR1985_VAL
0.14797879064122765,COC_MR1985_LB
0.14797879064122765,COC_MR1985_UB
0.12150071105371227,COC_MR1990_VAL
0.16498284152950504,COC_MR1990_LB
0.16498284152950504,COC_MR1990_UB
0.1674992183041682,COC_MR1995_VAL
0.17452438337383439,COC_MR1995_LB
0.17452438337383439,COC_MR1995_UB
0.19249353019871848,COC_MR2000_VAL
0.21806390886486768,COC_MR2000_LB
0.21806390886486768,COC_MR2000_UB
0.2305232248949533,COC_MR2005_VAL
0.27730565797336676,COC_MR2005_LB
0.27730565797336676,COC_MR2005_UB
0.3001826091220507,COC_MR2010_VAL
0.3229731355836936,COC_MR2010_LB
0.3229731355836936,COC_MR2010_UB
0.36432862406696465,COC_PC1980_2010
0.057356763209977214,DDA_MR1980_VAL
0.05831018814272528,DDA_MR1980_LB
0.05831018814272528,DDA_MR1980_UB
0.06297106145529924,DDA_MR1985_VAL
0.07155344473204313,DDA_MR1985_LB
0.07155344473204313,DDA_MR1985_UB
0.10324067240842416,DDA_MR1990_VAL
0.09948099715683592,DDA_MR1990_LB
0.09948099715683592,DDA_MR1990_UB
0.1188793430708727,DDA_MR1995_VAL
0.1311169658646664,DDA_MR1995_LB
0.1311169658646664,DDA_MR1995_UB
0.13059163850571076,DDA_MR2000_VAL
0.15029720356869622,DDA_MR2000_LB
0.15029720356869622,DDA_MR2000_UB
0.18424501353213868,DDA_MR2005_VAL
0.19512458007658953,DDA_MR2005_LB
0.19512458007658953,DDA_MR2005_UB
0.20830850260513595,DDA_MR2010_VAL
0.21223283333417436,DDA_MR2010_LB
0.21223283333417436,DDA_MR2010_UB
0.1649144821232561,DDA_PC1980_2010
0.26335347869973375,NIA_MR1980_VAL
0.2510192764869317,NIA_MR1980_LB
0.2510192764869317,NIA_MR1980_UB
0.22364396641741266,NIA_MR1985_VAL
0.21414010245844595,NIA_MR1985_LB
0.21414010245844595,NIA_MR1985_UB
0.14095626796367206,NIA_MR1990_VAL
0.13553410913863811,NIA_MR1990_LB
0.13553410913863811,NIA_MR1990_UB
0.07972544131901722,NIA_MR1995_VAL
0.06756570012968824,NIA_MR1995_LB
0.06756570012968824,NIA_MR1995_UB
