,0
0,PCA_0
1,PCA_5
2,PCA_7
3,PCA_12
4,PCA_19
5,PCA_4
6,PCA_9
7,PCA_8
8,PCA_3
9,PCA_13
10,PCA_6
11,PCA_16
12,PCA_2
13,PCA_1
14,PCA_14
15,PCA_11
16,PCA_18
17,PCA_10
