,0
0,PCA_0
1,PCA_5
2,PCA_7
3,PCA_19
4,PCA_9
5,PCA_12
6,PCA_13
7,PCA_3
8,PCA_6
9,PCA_4
10,PCA_8
11,PCA_16
12,PCA_17
13,PCA_11
14,PCA_2
15,PCA_10
16,PCA_18
17,PCA_14
18,PCA_15
