,0
0,PCA_0
1,PCA_5
2,PCA_7
3,PCA_19
4,PCA_12
5,PCA_4
6,PCA_9
7,PCA_3
8,PCA_8
9,PCA_2
10,PCA_6
11,PCA_16
12,PCA_13
13,PCA_1
14,PCA_14
