,0
0,PCA_0
1,PCA_5
2,PCA_7
3,PCA_19
4,PCA_12
5,PCA_13
6,PCA_6
7,PCA_3
8,PCA_4
9,PCA_18
10,PCA_17
11,PCA_9
12,PCA_11
13,PCA_14
14,PCA_15
15,PCA_10
16,PCA_2
